name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_50_,168,50,10,10801.81482,7.7445,7.780637294,0.466618814,2,10802.35254
Instance_168_50_,168,50,50,10282.76898,6.5645,7.793,18.7142966,2,10808.46103
Instance_168_50_,168,50,100,10813.96485,3.952150001,7.8804,99.39526583,2,10815.57085
Instance_168_50_,168,50,150,8101.499537,3.564222222,7.849700689,120.2360066,2,10823.6574
Instance_168_50_,168,50,200,10827.13611,3.90715,7.8651,101.3001804,2,10830.33492
Instance_270_50_,270,50,10,9831.191816,9.193,9.1935,0.005438921,2,9831.784127
Instance_270_50_,270,50,50,10719.7692,7.3095,8.889,21.60886518,2,10809.45306
Instance_270_50_,270,50,100,10007.44889,5.01035,9.285648789,85.32934404,2,10819.23296
Instance_270_50_,270,50,150,8841.10998,4.366511111,9.411066621,115.5282875,2,10829.02632
Instance_270_50_,270,50,200,10833.11095,4.398300001,9.08135,106.4740922,2,10836.9182
Instance_500_50_,500,50,10,10802.61252,10.313,10.32536932,0.119939088,2,10803.27046
Instance_500_50_,500,50,50,10770.0271,9.469,10.843,14.51050797,2,10812.46761
Instance_500_50_,500,50,100,10315.65787,6.34695,11.3619,79.01354194,2,10825.77837
Instance_500_50_,500,50,150,6532.917775,5.042911111,11.31253843,124.3255568,2,10837.59191
Instance_500_50_,500,50,200,10846.96219,4.47315,11.4721,156.4658015,2,10851.91295
Instance_900_50_,900,50,10,10803.39417,13.482,13.531,0.36344756,2,10804.50513
Instance_900_50_,900,50,50,10815.96427,12.423,13.51,8.74989938,2,10818.46347
Instance_900_50_,900,50,100,10198.64449,7.1942,13.60248722,89.07574457,2,10832.60079
Instance_900_50_,900,50,150,4815.968511,6.583077778,13.40421248,103.6161949,2,10848.06382
Instance_900_50_,900,50,200,9736.019642,5.5046,13.4549,144.430113,2,10869.05143
Instance_1500_50_,1500,50,10,10803.9078,13.837,13.89241077,0.40045363,2,10805.22778
Instance_1500_50_,1500,50,50,10236.99892,13.947,14.885,6.725460673,2,10822.19196
Instance_1500_50_,1500,50,100,10836.44405,10.3399,15.21835,47.1808238,2,10840.90348
Instance_1500_50_,1500,50,150,10856.05633,6.774844444,15.48117773,128.509715,2,10861.901
Instance_1500_50_,1500,50,200,10782.4654,6.8448,15.59199761,127.7933264,2,10881.782
