time,best,best bound,gap %,status
30.64425301551819,0.3200000000000527,28.929,8940.31249999851,2
time,best,best bound,gap %,status
32.81482672691345,1.7904999999999074,28.929,1515.69394024024,2
time,best,best bound,gap %,status
203.37696599960327,2.2774999999998267,11.6265,410.4939626784143,2
time,best,best bound,gap %,status
1668.8911681175232,3.7669999999999386,11.123000000000001,195.27475444651398,2
time,best,best bound,gap %,status
4749.643568992615,4.0975000000002115,10.446000000000002,154.93593654666168,2
time,best,best bound,gap %,status
6895.904927968979,4.56750000000018,10.211500000000001,123.56869184454511,2
time,best,best bound,gap %,status
7563.735997915268,4.802500000000179,10.15,111.34825611659807,2
time,best,best bound,gap %,status
8287.123757839203,4.899000000000161,10.1485,107.15452133087706,2
time,best,best bound,gap %,status
8288.031882047653,5.074000000000147,10.1485,100.00985415844907,2
time,best,best bound,gap %,status
8307.367646932602,5.2000000000001405,10.1485,95.16346153845627,2
time,best,best bound,gap %,status
10061.153642654419,5.251500000000123,10.146500000000001,93.21146339140749,2
time,best,best bound,gap %,status
10061.290299892426,5.294500000000137,10.146500000000001,91.64227028047482,2
time,best,best bound,gap %,status
10061.424927949905,5.339500000000127,10.146500000000001,90.027156100754,2
time,best,best bound,gap %,status
10554.158406972885,5.537500002741129,10.146500000000001,83.2325055526386,2
time,best,best bound,gap %,status
10554.302317857742,5.5645000000001055,10.146500000000001,82.3434270823939,2
